animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Su,28,BP053-054,53,54,42.38700446022349,596.173218369777,745.1720644653706,636.8781595583459,733.3498011479617,616.5256889640615,739.2609328066661,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,29,BP055-064,55,64,52.9059123953094,690.5740394241177,712.5052842462142,734.4545434004475,742.0609425397365,712.5142914122825,727.2831133929753,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,30,BP056-065,56,65,40.73287525954812,359.738134444685,947.0838774390129,321.05400593923645,934.3282775439138,340.3960701919607,940.7060774914634,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,31,BP057-066,57,66,24.82081583560645,398.42226295013353,914.7282094124199,373.883823226528,918.4615557231807,386.1530430883308,916.5948825678004,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,32,BP058-059,58,59,51.772220481173896,438.8385166125423,878.6391950750664,479.25477027495134,846.2835270484734,459.0466434437468,862.4613610617698,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,33,BP062-063,62,63,44.67072871369947,617.2474077794616,780.327742225034,661.7052868081114,784.6833129209214,639.4763472937865,782.5055275729776,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,34,BP067-076,67,76,44.464897350356615,431.62132845854075,915.3504337975467,450.0973301327849,955.7950188307879,440.85932929566286,935.5727263141673,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,35,BP068-069,68,69,48.932460099222354,484.16245821967243,895.4392534734895,531.7959000360828,884.2392145412074,507.9791791278776,889.8392340073485,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,36,BP070-071,70,71,50.21251326719736,586.0691549541748,868.3724927204744,635.7234094537057,860.9058000989528,610.8962822039402,864.6391464097136,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,37,BP072-073,72,73,46.11408503890412,692.3061645810783,848.4613123964172,734.7432309266076,830.4168052277404,713.5246977538429,839.4390588120788,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,38,BP074-109,74,109,38.069444715154425,341.83950782276094,989.0840234350709,363.7797598109259,1020.1952426914103,352.8096338168434,1004.6396330632406,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,39,BP075-095,75,95,23.589176750609806,394.09195005773245,970.7284040738307,397.55620037165323,994.0618185160852,395.8240752146928,982.3951112949579,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,40,BP077-097,77,97,32.06535523589913,502.6384598939165,953.3061212902807,501.4837097892763,985.3506771243102,502.0610848415964,969.3283992072954,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,41,BP078-098,78,98,42.97185985305083,545.3642137656059,935.5727263141672,552.8700894457673,977.8839845027888,549.1171516056866,956.728355408478,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,42,BP079-080,79,80,44.28025190930221,598.4827185790576,927.1726971149558,642.074535029227,919.3948923008709,620.2786268041423,923.2837947079133,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,43,BP081-082,81,82,40.97583694197303,693.1722271595584,908.8170777537155,731.5676681388467,894.5059168957994,712.3699476492025,901.6614973247574,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,44,BP083-084,83,84,29.879438919769303,764.7667336472541,762.5943472489205,791.3259860539798,748.9054107761312,778.0463598506169,755.7498790125259,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,45,BP085-086,85,86,34.544410443124015,812.9775505159847,732.7275767628348,839.5368029227106,710.6386110908338,826.2571767193476,721.6830939268343,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,46,BP087-088,87,88,42.02502149174923,770.2517966442953,812.9945224441902,810.090675254384,799.6166981639644,790.1712359493397,806.3056103040774,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,47,BP089-090,89,90,35.781353368490535,846.7539910767122,780.6388544175973,878.5096189543192,764.1499082117375,862.6318050155157,772.3943813146674,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,48,BP091-092,91,92,40.54647925059966,776.8916097459767,876.4614097271226,814.7096756729451,861.8391366766431,795.8006427094608,869.1502732018828,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
